Algoritmos;Métricas Bootstrap;;;;;Métricas Holdout
;[VN FP];[FN VP];Acurácia;Precisão;Sensibilidade;[VN FP];[FN VP];Acurácia;Precisão;Sensibilidade;
Multinomial NB;[65 12];[  2 115];0.9278;0.9055;0.9829;[65 12];[  2 115];0.8608;0.8148;0.9821
Decision Tree;[74  3];[  9 108];0.9381;0.9730;0.9231;[74  3];[  9 108];0.9021;0.9346;0.8929
Random Forest;[72  5];[  4 113];0.9536;0.9576;0.9658;[72  5];[  4 113];0.9330;0.9459;0.9375
Adaptive Boosting;[69  8];[  5 112];0.9330;0.9333;0.9573;[69  8];[  5 112];0.9485;0.9474;0.9643



#Modelos Multinomial Naive Bayes para serem utilizandos com Reamostragem Holdout e Bootstrap
alpha = 1
fit_prior = True
class_prior = None

#Modelos Decision Tree para serem utilizandos com Reamostragem Holdout e Bootstrap
criterion = 'gini' #'gini' ou 'entropy'
splitter = 'best' #'best' ou 'random'
max_depth = None
min_samples_split = 2
min_samples_leaf = 1
max_features = None
max_leaf_nodes = None

#Modelos Random Forest para serem utilizandos com Reamostragem Holdout e Bootstrap
n_estimators = 100
criterion = 'gini' #'gini' ou 'entropy'
max_depth = None
min_samples_split = 2
min_samples_leaf = 1
max_features = None
max_leaf_nodes = None
bootstrap = True
max_samples = None

#Modelos Adaptive Boosting para serem utilizandos com Reamostragem Holdout e Bootstrap
base_estimator = None
n_estimators = 50
learning_rate = 1
algorithm = 'SAMME.R' # 'SAMME.R' ou 'SAMME'
random_state = None
